0 27 1 0 57 49 63 49 63 45
1 18 2 496 108 108 76 86 86 122
2 33 1 0 53 45 36 63 54 68
3 30 1 0 62 72 36 68 32 41
4 36 1 0 57 54 41 59 41 86
5 25 1 0 71 60 61 77 77 59
6 32 1 0 89 99 63 95 68 68
7 29 1 0 89 78 95 79 95 77
8 11 1 0 71 72 81 95 81 108
9 28 1 0 71 60 77 61 77 59
10 46 1 0 129 57 57 73 73 65
11 34 1 0 75 104 122 59 63 90
12 33 1 0 53 45 36 63 54 68
13 21 1 0 51 41 41 50 63 63
14 12 1 0 52 51 43 59 50 63
15 42 1 0 39 36 68 90 54 45
16 42 2 274 81 57 94 127 78 68
17 5 2 274 160 94 89 94 104 68
18 41 1 0 89 113 76 90 76 68
19 47 1 0 107 140 113 113 95 86
20 30 2 274 105 105 56 93 51 61
21 35 1 0 80 81 63 99 81 113
22 20 2 274 135 141 99 120 166 99
23 44 2 274 118 99 94 136 99 110
24 27 2 274 71 56 73 56 73 52
25 47 2 274 129 162 131 131 110 99
26 44 2 274 118 99 94 136 99 110
27 3 1 0 80 23 50 23 50 41
28 41 1 0 89 113 76 90 76 68
29 21 1 0 51 41 41 50 63 63
30 23 1 0 107 95 95 95 95 95
31 15 1 33 66 68 45 68 50 59
32 24 1 99 57 49 49 63 63 45
33 42 1 0 39 36 68 90 54 45
34 6 1 0 62 51 48 63 50 54
35 42 1 0 39 36 68 90 54 45
36 12 1 0 52 51 43 59 50 63
37 19 1 0 75 122 59 90 104 63
38 30 1 0 62 72 36 68 32 41
39 45 1 0 84 39 39 55 55 65
40 37 1 0 71 86 54 86 77 104
41 39 1 67 71 81 49 59 49 59
42 0 1 0 56 48 63 50 62 43
43 9 1 0 53 41 36 50 95 68
44 12 1 0 52 51 43 59 50 63
45 36 1 0 57 54 41 59 41 86
46 0 1 0 56 48 63 50 62 43
47 3 1 0 80 23 50 23 50 41
48 18 1 0 62 81 54 63 63 86
49 18 2 616 103 108 77 88 88 122
50 3 1 0 80 23 50 23 50 41
51 42 1 0 39 36 68 90 54 45
52 30 1 0 62 72 36 68 32 41
53 27 1 0 57 49 63 49 63 45
54 14 1 0 87 80 75 103 81 95
55 24 1 0 57 49 49 63 63 45
56 33 1 34 53 45 36 63 54 68
57 36 1 0 57 54 41 59 41 86
58 36 1 0 57 54 41 59 41 86
59 37 2 274 87 99 62 99 89 120
60 40 2 274 81 83 68 83 68 113
61 40 4 13138 236 173 150 166 150 239
62 21 1 0 51 41 41 50 63 63
63 45 1 0 84 39 39 55 55 65
64 1 2 274 85 71 89 73 89 65
65 19 2 274 92 141 68 104 120 73
66 8 2 274 161 164 106 86 128 108
67 5 2 274 160 94 89 94 104 68
68 4 2 274 171 110 110 89 89 57
69 4 2 274 123 94 94 73 73 41
70 11 2 274 87 83 94 110 94 125
71 23 2 274 129 110 110 110 110 110
72 32 2 274 108 115 73 110 78 78
73 32 2 340 108 115 73 110 78 78
74 38 2 274 92 73 68 120 104 141
75 26 2 274 108 110 134 133 131 89
76 26 2 274 108 110 134 133 131 89
77 42 2 274 50 41 78 104 62 52
78 11 2 274 87 83 94 110 94 125
79 2 2 274 106 92 110 94 115 86
80 41 2 274 108 131 87 104 87 78
81 23 2 274 129 110 110 110 110 110
82 29 2 274 108 91 110 92 110 89
83 26 2 274 108 110 134 133 131 89
84 26 2 274 108 110 134 133 131 89
85 44 2 274 118 99 94 136 99 110
86 8 2 274 123 136 87 68 110 90
87 35 2 274 97 94 73 115 94 131
88 41 2 274 108 131 87 104 87 78
89 26 2 274 108 110 134 133 131 89
90 22 2 274 100 84 83 90 110 110
91 22 2 274 100 84 83 90 110 110
92 22 2 274 100 84 83 90 110 110
93 22 2 274 100 84 83 90 110 110
94 22 2 274 100 84 83 90 110 110
95 22 2 274 100 84 83 90 110 110
96 22 2 274 100 84 83 90 110 110
97 16 2 274 97 94 152 94 78 26
98 16 2 274 97 94 152 94 78 26
99 13 2 274 84 72 65 89 73 89
100 13 2 274 84 72 65 89 73 89
101 31 2 274 92 99 57 94 52 62
102 31 2 274 92 99 57 94 52 62
103 22 3 2195 195 134 133 140 182 163
104 7 3 2195 127 115 83 83 101 86
105 7 3 2195 127 115 83 83 101 86
106 15 3 2195 97 89 59 89 65 77
107 22 2 274 100 84 83 90 110 110
108 17 3 2195 169 143 107 113 95 125
109 6 3 2195 91 67 62 83 65 71
110 0 3 2195 83 62 83 65 81 56
111 15 3 2195 97 89 59 89 65 77
112 19 3 2195 109 161 77 119 137 83
113 19 3 2195 109 161 77 119 137 83
114 38 3 2195 200 128 122 182 164 229
115 37 3 2195 103 113 71 113 101 137
116 10 3 2195 213 132 126 144 213 168
117 10 3 2195 127 89 83 101 149 125
118 10 3 2195 127 89 83 101 149 125
119 34 3 2195 109 137 161 77 83 119
120 34 3 2195 109 137 161 77 83 119
121 29 3 2195 127 103 125 104 125 101
122 26 3 2195 127 125 152 151 149 101
123 44 3 2195 139 113 107 155 113 125
124 41 3 2195 127 149 99 119 99 89
125 47 3 2195 151 185 149 149 125 113
126 47 3 2195 151 185 149 149 125 113
127 47 4 7408 173 207 167 167 140 126
128 47 5 17614 434 386 300 300 265 262
129 44 4 7408 159 126 119 173 126 140
130 20 4 7408 351 265 211 238 339 211
131 22 4 7408 136 107 106 114 140 140
132 20 4 7408 181 180 126 153 212 126
133 20 4 8370 181 180 126 153 212 126
134 5 4 7408 407 184 177 184 198 150
135 5 4 7408 213 119 113 119 133 86
136 26 4 7408 146 140 171 169 167 113
137 23 4 7408 173 140 140 140 140 140
138 45 1 0 84 39 39 55 55 65
139 24 1 66 57 49 49 63 63 45
140 9 1 33 53 41 36 50 95 68
141 29 1 0 89 78 95 79 95 77
142 4 4 7408 166 119 119 92 92 52
143 42 1 0 39 36 68 90 54 45
144 15 1 0 66 68 45 68 50 59
145 21 1 0 51 41 41 50 63 63
146 9 1 0 53 41 36 50 95 68
147 40 1 0 66 72 59 72 59 97
148 6 4 7408 105 75 69 92 72 79
