0 100 40 0 0 水 水枪
1 100 60 0 0 水 水之波动
2 90 90 0 1 水 水流尾
3 85 120 1 0 水 水炮
4 100 65 0 0 水 泡沫光线
5 100 85 0 1 一般 泰山压顶
6 100 90 0 0 水 冰冻光束
7 100 65 0 0 水 盐水
8 100 80 0 1 水 拳瀑
9 90 150 0 0 一般 破坏光线 
10 100 80 0 0 一般 力量宝石
11 100 90 1 0 水 冲浪
12 90 80 0 1 一般 意念头锤
13 100 50 0 0 一般 念力
14 85 90 0 0 水 浊流
15 100 100 1 1 一般 地震
16 100 65 0 1 一般 角撞
17 85 120 1 1 一般 超级角击
18 100 80 0 1 一般 毒击
19 100 40 0 0 火 火花
20 100 70 1 1 一般 劈开
21 100 90 0 0 火 喷射火焰
22 100 120 0 1 火 闪焰冲锋
23 90 85 1 1 火 火焰踢
24 95 65 0 1 火 火焰牙
25 100 80 0 0 一般 神通力
26 85 110 0 0 火 大字爆炎
27 95 100 0 1 火 神圣之火
28 90 140 1 1 火 神鸟猛击
29 100 65 0 0 火 烧尽
30 70 100 0 0 火 炼狱
31 90 130 1 0 火 过热
32 100 80 0 0 火 喷烟
33 100 150 1 0 火 喷火
34 95 55 1 0 草 飞叶快刀
35 100 80 0 1 草 种子炸弹
36 85 90 0 1 一般 猛撞
37 100 120 0 0 草 日光束
38 100 45 0 1 草 藤鞭
39 999 60 0 0 草 魔法叶
40 100 40 0 0 草 超极吸取
41 100 75 0 0 草 终极吸取
42 100 90 0 0 草 能量球
43 100 90 1 1 草 落英缤纷
44 100 90 1 1 草 叶刃
45 85 120 1 1 草 强力鞭打
46 90 65 0 0 草 青草搅拌器
47 90 130 0 0 草 飞叶风暴
48 100 65 0 1 电 电光
49 100 80 1 0 电 放电
50 100 90 1 0 电 十万伏特
51 80 115 1 0 电 打雷
52 100 65 0 1 电 雷电拳
53 100 70 0 0 电 伏特替换
54 100 40 0 0 电 电击
55 70 120 1 0 电 电磁炮
56 100 100 1 1 电 交错雷电
57 100 120 0 1 一般 逆鳞
58 90 130 1 1 电 雷击
